"Mês Ano";"Programa Orçamentário";"Ação Orçamentária";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"07/2023";"0910 - OPERACOES ESPECIAIS: GESTAO DA PARTICIPACAO EM ORGANISMOS E ENTIDADES NACIONAIS E INTERNACIONAIS";"0868 - CONTRIBUICAO A ORGANIZACAO DO TRATADO DE COOPERACAO AMAZONICA - OTCA (MRE)";"5.162.926,00";"4.556.098,01";"4.556.098,01";
"07/2023";"3004 - AVIACAO CIVIL";"15V2 - REFORMA E REAPARELHAMENTO DO AEROPORTO CIVIL DE ALCANTARA/MA";"- 3.000,00";"144.936,07";"16.824,00";
"07/2023";"2214 - NOVA PREVIDENCIA";"2592 - AUTORIZACAO, MONITORAMENTO E FISCALIZACAO DAS ENTIDADES FECHADAS DE PREVIDENCIA COMPLEMENTAR";"300.727,25";"170.383,62";"221.282,07";
"07/2023";"1031 - AGROPECUARIA SUSTENTAVEL";"21AJ - AGROPECUARIA CONSERVACIONISTA";"0,00";"0,00";"0,00";
"07/2023";"0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"6662 - FORMULACAO E DESENVOLVIMENTO DE POLITICAS E ESTRATEGIAS DE LONGO PRAZO";"0,00";"0,00";"0,00";
"07/2023";"5026 - ESPORTE";"09HW - CONCESSAO DE BOLSA A ATLETAS";"0,00";"10.260.348,99";"10.260.348,99";
"07/2023";"2217 - DESENVOLVIMENTO REGIONAL, TERRITORIAL E URBANO";"14XU - ESTUDOS E PROJETOS PARA IMPLANTACAO DE PROJETOS PUBLICOS DE IRRIGACAO";"0,00";"0,00";"0,00";
"07/2023";"1031 - AGROPECUARIA SUSTENTAVEL";"8593 - APOIO AO DESENVOLVIMENTO DA PRODUCAO AGROPECUARIA SUSTENTAVEL";"0,00";"0,00";"0,00";
"07/2023";"2027 - CULTURA: DIMENSAO ESSENCIAL DO DESENVOLVIMENTO";"12MG - IMPLANTACAO DE ESPACOS INTEGRADOS DE ESPORTE, CULTURA, LAZER E SERVICOS PUBLICOS - PRACAS DOS ESPORTES E DA CULTURA";"0,00";"0,00";"0,00";
"07/2023";"2207 - PROGRAMA ESPACIAL BRASILEIRO";"2357 - FOMENTO A PROJETOS INSTITUCIONAIS PARA PESQUISA NO SETOR ESPACIAL (CT-ESPACIAL)";"3.140.800,00";"117.610,00";"0,00";
"07/2023";"5025 - CULTURA";"006A - INVESTIMENTOS RETORNAVEIS NO SETOR AUDIOVISUAL MEDIANTE PARTICIPACAO EM EMPRESAS E PROJETOS - FUNDO SETORIAL DO AUDIOVISUAL";"1.025.656.062,00";"200.000.000,00";"237.740.302,00";
"07/2023";"2208 - TECNOLOGIAS APLICADAS, INOVACAO E DESENVOLVIMENTO SUSTENTAVEL";"2113 - FOMENTO A PESQUISA E A INOVACAO TECNOLOGICA (CT-VERDE AMARELO)";"17.031.697,86";"12.559.618,85";"12.126.218,85";
"07/2023";"2213 - MODERNIZACAO TRABALHISTA E TRABALHO DIGNO";"00H4 - SEGURO DESEMPREGO";"4.454.179.915,94";"4.454.179.915,94";"4.454.179.915,94";
"07/2023";"3001 - ENERGIA ELETRICA";"20LI - ESTUDOS PARA O PLANEJAMENTO DO SETOR ENERGETICO";"6.000,00";"20.832,82";"20.987,32";
"07/2023";"2221 - RECURSOS HIDRICOS";"00TG - APOIO A CONSTRUCAO DA BARRAGEM OITICICA";"0,00";"613.195,00";"613.195,00";
"07/2023";"4001 - COMUNICACAO PUBLICA E DIVULGACAO DE ATOS E MATERIAS DO GOVERNO FEDERAL";"2804 - PUBLICACOES OFICIAIS";"1.810.261,82";"3.053.267,61";"3.087.991,76";
"07/2023";"5016 - SEGURANCA PUBLICA, COMBATE A CORRUPCAO, AO CRIME ORGANIZADO E AO CRIME VIOLENTO";"00R2 - APRIMORAMENTO DA SEGURANCA PUBLICA NACIONAL";"19.000.000,00";"0,00";"0,00";
